Samples,Sex,Cancer Type,Age,Therapy,Cancer,VOM7,VOM9,VOM11,VOM23,VOM40,VOM58,VOM64,VOM75,VOM78,VOM79,VOM88,VOM93,VOM94,VOM108,VOM115,VOM121,VOM126,VOM127
C31,F,STC,NI,CTx,Y,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0
C6,F,BC,ADT,None,Y,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1
H23,F,H,ADC,None,N,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
C7,F,BC,ADT,None,Y,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1
C8,F,BC,SN,CTx,Y,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1
H14,F,H,ADT,None,N,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1
C10,F,BC,ADT,None,Y,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1
H42,M,H,NI,None,N,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
C20,F,BC,SN,CTx,Y,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1
C15,F,BC,SN,None,Y,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
H35,F,H,ADC,None,N,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1
C17,M,TVT,SN,CTx,Y,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
C18,F,BC,SN,None,Y,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1
C21,F,BC,SN,None,Y,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
H38,F,H,SN,None,N,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
C48,F,BC,SN,None,Y,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
C24,M,TVT,ADT,CTx,Y,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
H49,F,H,SN,None,N,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
C25,M,TPC,SN,CTx,Y,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
H48,M,H,SN,None,N,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1
C27,F,BC ,SN,None,Y,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
H33,F,H,SN,None,N,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1
C29,F,BC,SN,CTx,Y,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0
C30,M,TPC,SN,None,Y,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1
H45,F,H,SN,None,N,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1
C32,M,TPC,SN,None,Y,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0
H30,M,H,SN,None,N,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1
C34,F,BC,ADT,CTx,Y,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0
H45,M,H,SN,None,N,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
C19,F,BC,ADT,CTx,Y,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
C39,F,BC,ADT,CTx,Y,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0
C42,M,TVT,SN,CTx,Y,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
C44,M,TPC,ADC,None,Y,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0
C46,F,BC,ADT,CTx,Y,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0
C40,F,BC,SN,None,Y,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
C49,F,BC,SN,None,Y,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
H46,M,H,ADT,None,N,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1
C58,M,STC,ADT,CTx,Y,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
H50,M,H,ADC,None,N,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
